Type,Commodity,KGs,Value_of_Goods_Exported,Date
Vegetables,Pepper mint,18.0,5425.0,02/25/2015 12:00:00 AM
Vegetables,Tarragon,30.0,19370.0,02/25/2015 12:00:00 AM
Vegetables,Basil,14209.31,5585760.0,02/25/2015 12:00:00 AM
Vegetables,Chillies,83649.24,25781275.0,02/25/2015 12:00:00 AM
Vegetables,Chives,3833.63,1999708.0,02/25/2015 12:00:00 AM
Vegetables,Coriander/dhania,267.88,144680.0,02/25/2015 12:00:00 AM
Vegetables,Dill,666.75,202975.0,02/25/2015 12:00:00 AM
Vegetables,Leeks,29.0,13417.0,02/25/2015 12:00:00 AM
Vegetables,Onions,5824.89,2283738.0,02/25/2015 12:00:00 AM
Vegetables,Parsley,1026.0,579800.0,02/25/2015 12:00:00 AM
Vegetables,Rosemary,477.98,232812.0,02/25/2015 12:00:00 AM
Vegetables,Thyme,1160.53,327541.0,02/25/2015 12:00:00 AM
Vegetables,Aubergines,96401.01,17618265.0,02/25/2015 12:00:00 AM
Vegetables,Baby corn,3167.21,1141820.0,02/25/2015 12:00:00 AM
Vegetables,Fine beans,2170663.68,366244571.0,02/25/2015 12:00:00 AM
Vegetables,Broccoli,94497.85,34100101.0,02/25/2015 12:00:00 AM
Vegetables,Carrots,972.0,434562.0,02/25/2015 12:00:00 AM
Vegetables,Courgettes/zucchine,2863.4,175206.0,02/25/2015 12:00:00 AM
Vegetables,Dudhi,823.32,247990.0,02/25/2015 12:00:00 AM
Vegetables,Garden peas,18443.8,8697413.0,02/25/2015 12:00:00 AM
Vegetables,Green maize,33.0,14422.0,02/25/2015 12:00:00 AM
Vegetables,Gunda,24.0,6889.0,02/25/2015 12:00:00 AM
Vegetables,Karella,732.0,260006.0,02/25/2015 12:00:00 AM
Vegetables,Matoke,180.0,49496.0,02/25/2015 12:00:00 AM
Vegetables,Mixed vegetables,1869326.99,725421738.0,02/25/2015 12:00:00 AM
Vegetables,Okra,3125.8,944938.0,02/25/2015 12:00:00 AM
