Type,Commodity,KGs,Value_of_Goods_Exported,Date
Fruits,Avocado,1503393.97,138829619,02/25/2015 12:00:00 AM
Fruits,Banana,90,31786,02/25/2015 12:00:00 AM
Fruits,Custard apple / sour sop,9018,1634599,02/25/2015 12:00:00 AM
Fruits,Lemon,836.08,493688,02/25/2015 12:00:00 AM
Fruits,Passion fruit juice,0,0,02/25/2015 12:00:00 AM
Fruits,Passion,48895.03,12363358,02/25/2015 12:00:00 AM
Fruits,Pawpaw,80,16361,02/25/2015 12:00:00 AM
Fruits,Pineapple,0,0,02/25/2015 12:00:00 AM
Fruits,Raspberries/blisses,28860.3,46766980,02/25/2015 12:00:00 AM
Fruits,Strawberry,640,113812,02/25/2015 12:00:00 AM
Fruits,Mango,1330034.71,183104589,02/25/2015 12:00:00 AM
Fruits,Macadamia,31037.8,28341504,02/25/2015 12:00:00 AM
Vegetables,Aloe vera,30,58871,02/25/2015 12:00:00 AM
Vegetables,Melissa,0,0,02/25/2015 12:00:00 AM
Vegetables,Pepper mint,18,5425,02/25/2015 12:00:00 AM
Vegetables,Tarragon,30,19370,02/25/2015 12:00:00 AM
Vegetables,Chillies dried,0,0,02/25/2015 12:00:00 AM
Vegetables,Basil,14209.31,5585760,02/25/2015 12:00:00 AM
Vegetables,Celery,0,0,02/25/2015 12:00:00 AM
Vegetables,Chillies,83649.24,25781275,02/25/2015 12:00:00 AM
Vegetables,Chives,3833.63,1999708,02/25/2015 12:00:00 AM
Vegetables,Coriander/dhania,267.88,144680,02/25/2015 12:00:00 AM
Vegetables,Curry leaves/limdi,0,0,02/25/2015 12:00:00 AM
Vegetables,Dill,666.75,202975,02/25/2015 12:00:00 AM
Vegetables,Leeks,29,13417,02/25/2015 12:00:00 AM
Fruits,Pineapple,0,0,03/25/2015 12:00:00 AM
Vegetables,Onions,5824.89,2283738,02/25/2015 12:00:00 AM
Vegetables,Parsley,1026,579800,02/25/2015 12:00:00 AM
Vegetables,Rosemary,477.98,232812,02/25/2015 12:00:00 AM
Vegetables,Thyme,1160.53,327541,02/25/2015 12:00:00 AM
Vegetables,Amaranthus leaves,0,0,02/25/2015 12:00:00 AM
Vegetables,Arrow roots(nduma),0,0,02/25/2015 12:00:00 AM
Vegetables,Asparagus,0,0,02/25/2015 12:00:00 AM
Vegetables,Aubergines,96401.01,17618265,02/25/2015 12:00:00 AM
Vegetables,Baby corn,3167.21,1141820,02/25/2015 12:00:00 AM
Vegetables,Fine beans,2170663.68,366244571,02/25/2015 12:00:00 AM
Vegetables,Beetroot,0,0,02/25/2015 12:00:00 AM
Vegetables,Broccoli,94497.85,34100101,02/25/2015 12:00:00 AM
Vegetables,Butter nuts,0,0,02/25/2015 12:00:00 AM
Vegetables,Cabbage,0,0,02/25/2015 12:00:00 AM
Vegetables,Carrots,972,434562,02/25/2015 12:00:00 AM
Vegetables,Courgettes/zucchine,2863.4,175206,02/25/2015 12:00:00 AM
Vegetables,Cucumber,0,0,02/25/2015 12:00:00 AM
Vegetables,Dudhi,823.32,247990,02/25/2015 12:00:00 AM
Vegetables,Garden peas,18443.8,8697413,02/25/2015 12:00:00 AM
Vegetables,Green maize,33,14422,02/25/2015 12:00:00 AM
Vegetables,Gunda,24,6889,02/25/2015 12:00:00 AM
Vegetables,Karella,732,260006,02/25/2015 12:00:00 AM
Vegetables,Matoke,180,49496,02/25/2015 12:00:00 AM
Vegetables,Mixed vegetables,1869326.99,725421738,02/25/2015 12:00:00 AM
Vegetables,Okra,3125.8,944938,02/25/2015 12:00:00 AM
Vegetables,Patra/arrow root leaves,1379,402948,02/25/2015 12:00:00 AM
Vegetables,Pumpkin,0,0,02/25/2015 12:00:00 AM
Vegetables,Rhubarb,0,0,02/25/2015 12:00:00 AM
Vegetables,Runner beans,56248.64,22535977,02/25/2015 12:00:00 AM
Vegetables,Serenade,2570,1433457,02/25/2015 12:00:00 AM
Vegetables,Snap peas,59054.53,19000574,02/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,157528.09,47406922,02/25/2015 12:00:00 AM
Vegetables,Spinach/palak,0,0,02/25/2015 12:00:00 AM
Vegetables,Sugar cane,40,12317,02/25/2015 12:00:00 AM
Vegetables,Sweet potatoes,0,0,02/25/2015 12:00:00 AM
Vegetables,Tindori/ivy guard,0,0,02/25/2015 12:00:00 AM
Vegetables,Tomato,0,0,02/25/2015 12:00:00 AM
Vegetables,Turia,12,3014,02/25/2015 12:00:00 AM
Vegetables,Turnips,0,0,02/25/2015 12:00:00 AM
Vegetables,Valore,110,37890,02/25/2015 12:00:00 AM
Vegetables,Bean processed,252264,28311500,02/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,0,0,02/25/2015 12:00:00 AM
Vegetables,Herbs,90759.15,50857934,02/25/2015 12:00:00 AM
Cut-flowers,Anthurium leaves,3362.11,1215772,03/25/2015 12:00:00 AM
Cut-flowers,Cut foliage,7644.21,2335744,03/25/2015 12:00:00 AM
Cut-flowers,Fillers,27.21,10711,03/25/2015 12:00:00 AM
Cut-flowers,Leather leaves/fern,349.34,83968,03/25/2015 12:00:00 AM
Cut-flowers,Ranunculus,70,28924,03/25/2015 12:00:00 AM
Cut-flowers,Dried carnations,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Dried rose,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Achillea,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Agapanthus,14513.56,2252909,03/25/2015 12:00:00 AM
Cut-flowers,Alstroemeria,81716.3,33127218,03/25/2015 12:00:00 AM
Cut-flowers,Amaranthus,43.98,51728,03/25/2015 12:00:00 AM
Cut-flowers,Ammi,23768.63,11809566,03/25/2015 12:00:00 AM
Cut-flowers,Anigozanthos,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Anthurium,6420.13,2571949,03/25/2015 12:00:00 AM
Cut-flowers,Arabicum / saundersiea,11150.44,3182087,03/25/2015 12:00:00 AM
Cut-flowers,Asclepias,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Asparagus fern,164.72,52946,03/25/2015 12:00:00 AM
Cut-flowers,Assorted/bouquet,1596.49,742959,03/25/2015 12:00:00 AM
Cut-flowers,Asters,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Astrantia,4734.72,2102475,03/25/2015 12:00:00 AM
Cut-flowers,Bougainvillea,1239.92,870600,03/25/2015 12:00:00 AM
Cut-flowers,Bouvadia,3333.4,2464013,03/25/2015 12:00:00 AM
Cut-flowers,Brodiaea,10.23,5713,03/25/2015 12:00:00 AM
Cut-flowers,Bupleurum,1428.37,971374,03/25/2015 12:00:00 AM
Cut-flowers,Callistaphus,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Calla lillies,25663.42,34618827,03/25/2015 12:00:00 AM
Cut-flowers,Campanula,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Carnation / dianthus,299500.18,637112137,03/25/2015 12:00:00 AM
Cut-flowers,Carthamus,0,,03/25/2015 12:00:00 AM
Cut-flowers,Celosia/wool flowers,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums,8139.55,2472464,03/25/2015 12:00:00 AM
Cut-flowers,Craspedia,7042.51,1269858,03/25/2015 12:00:00 AM
Cut-flowers,Crocosmia / montbretia,3589.53,1912043,03/25/2015 12:00:00 AM
Cut-flowers,Delphinium,3239.08,3327281,03/25/2015 12:00:00 AM
Cut-flowers,Eryngium,18489.56,7756244,03/25/2015 12:00:00 AM
Cut-flowers,Eucalyptus,1403.8,436064,03/25/2015 12:00:00 AM
Cut-flowers,Euphorbia,436.57,116697,03/25/2015 12:00:00 AM
Cut-flowers,Fennel/feoniculum,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Freesia,1150.92,547524,03/25/2015 12:00:00 AM
Cut-flowers,Gerbera,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Germini,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Gladiolus,6.82,786,03/25/2015 12:00:00 AM
Cut-flowers,Grass,702.48,289966,03/25/2015 12:00:00 AM
Cut-flowers,Gypsophilla / million stars,159376.97,81110655,03/25/2015 12:00:00 AM
Cut-flowers,Heliconia,0,0,03/25/2015 12:00:00 AM
